experiment_id,dataset,number_of_data,model,prompt_set,number_of_shots,temperature,max_tokens,batch_size,pad_token,pad_token_id,eos_token,eos_token_id,seed,device,accuracy,average_pvi_for_T,average_pvi_for_F,accuracy_for_pvi<1/5quantile,accuracy_for_pvi>4/5quantile,accuracy_for_pvi<1/2quantile,accuracy_for_pvi>1/2quantile
20230518_160334,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5275,0.8132,0.6603,0.4623,0.6887,0.4525,0.6008
20230518_160453,cola/raw/in_domain_dev.tsv,527,togethercomputer/GPT-JT-6B-v1,3a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.5066,-0.0043,-0.1745,0.4057,0.5755,0.4183,0.5932
20230518_160615,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3396,0.4121,0.27,0.2028,0.3658,0.2796,0.3996
20230518_163233,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3413,0.1951,-0.0149,0.2608,0.5313,0.2529,0.4298
20230518_170255,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3346,0.7357,0.5452,0.2445,0.3087,0.3212,0.3481
20230518_172905,multinli/multinli_1.0_dev_matched.txt,9815,togethercomputer/GPT-JT-6B-v1,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3387,0.1201,0.0581,0.2206,0.3235,0.3114,0.366
20230518_175955,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3439,0.4034,0.6572,0.4117,0.2025,0.4051,0.2826
20230518_182531,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3421,0.4337,0.5561,0.2651,0.2499,0.3424,0.3418
20230518_184411,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-2.7B,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3152,0.1097,0.0259,0.2354,0.332,0.2777,0.3531
20230518_185506,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3385,0.1984,0.2698,0.3064,0.284,0.3384,0.3386
20230518_190623,snli/snli_1.0_test.txt,9824,gpt2,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3247,0.4796,0.4041,0.1511,0.0139,0.3664,0.2828
20230518_191333,snli/snli_1.0_test.txt,9824,gpt2,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3323,0.3655,-0.3094,0.1571,0.6582,0.1589,0.5063
20230518_192047,snli/snli_1.0_test.txt,9824,togethercomputer/GPT-JT-6B-v1,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3406,0.1622,0.2586,0.3288,0.2468,0.3667,0.3145
20230518_192053,snli/snli_1.0_test.txt,9824,gpt2,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.1551,1.3226,1.0966,0.1038,0.3209,0.0926,0.2189
20230518_192804,snli/snli_1.0_test.txt,9824,gpt2,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.2542,0.258,-0.0847,0.2542,0.4847,0.1866,0.3238
20230518_194446,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3223,0.5152,0.1858,0.2886,0.4608,0.2734,0.3719
20230518_200319,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-2.7B,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3238,0.0698,0.1169,0.2677,0.2346,0.3385,0.3092
20230518_234239,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,1a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4649,0.2264,0.2778,0.5472,0.5238,0.4677,0.4639
20230518_234318,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,1a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4744,-0.0292,-0.1303,0.4057,0.5283,0.4106,0.542
20230518_234402,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3257,0.4871,0.1487,0.1592,0.2974,0.2808,0.3704
